label,sentence
카페,케이크
카페,빵
카페,티
카페,카페 알려줘
카페,커피 어디야
카페,카페 어디야
카페,커피 파는 곳
카페,카페 위치
카페,카페 위치 알려줘
카페,카페 위치 어디야
카페,커피점 어디
카페,주변 카페
카페,주변 카패
카페,주변 커피
카페,주변에 카페 있어?
카페,주변에 있는 카페 알려줘
카페,주변에 있는 카페 위치
카페,주변에 있는 카페 어디야
카페,분위기 좋은 카페
카페,카페 알려죠
카페,카페있나
카페,주위 카페 알려줘
카페,주위 카페 있음?
카페,카페 주소알려줘
카페,카페는 어디있어?
카페,카페 어디
카페,카패 어디
카페,가까운 카페 위치
카페,가까운 카페 어디야
카페,가까운 카페 알려줘
카페,카페 갈쳐줘
카페,카페 가르쳐줘
카페,카페 알려주세요
카페,시간 보내기 좋은 카페
카페,감성 카페
카페,무드 있는 카페
카페,이 지역 카페
카페,이 지역에 있는 카페 정보
카페,카페 주소
카페,축제랑 가까운 카페
카페,축제 카페
카페,축제 주위 카페
연관,연관
연관,연관축제
연관,연관 축제
연관,비슷한 축제
연관,유사 축제
연관,관련 축제
연관,비슷한 축제 뭐야
연관,연관 축제 알려줘
연관,비슷한 축제 뭐야
연관,연관 축제 알려줘
연관,똑같은 축제 알려줘
연관,같은 축제 알려줘
연관,비슷한 축제 있을까?
연관,연관된 축제 있을까?
연관,연관 축제 있니
연관,비슷한 축제 있니
연관,똑같은 축제 있니
연관,같은 축제 있니
연관,비슷한 축제 있어?
연관,연관 축제 있어?
연관,같은 축제 있어?
연관,연관 축제 머있어
연관,다른 축제 알려줘
연관,비슷한거
연관,축제 또 뭐있어
연관,비슷한 축제 다른거도 알려줘
연관,연관 축제도 알려줘
연관,유사한 축제 있음?
연관,똑가튼 축제 있음?
연관,똑같은 축제 있음?
연관,축제 또 알려줘
연관,비슷한 축제들 알려줘
연관,연관 축제 알려줭
연관,관련된 축제들
연관,이거랑 비슷한 축제 있어?
연관,비슷한 다른 축제 알려주세요
연관,비슷한 축제있나
연관,다양한 연관된 축제들
연관,연관 축제 알려주소
연관,연관 축제 있는교
연관,유사한 축제들
연관,연관된거 다른거 보여줘
연관,연관축제 보여줘
연관,비슷한거 보여줘
연관,다른 비슷한 축제도 보고싶어
연관,유사한 축제들도 알려줘
연관,비스무리한 축제 알려줘
연관,연관돼는 축제있여?
연관,다른 비슷한 축제들도 갈쳐줘
연관,연관있는 축제  갈쳐줘
연관,비슷한 축제 뭐있는겨
인기,인기
인기,인싸 축제
인기,인기 축제
인기,유명한 축제
인기,검색순위
인기,순위
인기,인싸
인기,인스타그램
인기,인스타
인기,랭킹
인기,인싸축제
인기,인싸들이 가는 축제
인기,인싸들이 좋아하는 축제
인기,인싸가 가는 축제
인기,인싸들은 무슨 축제 좋아해
인기,인싸축제추천
인기,인싸축제종류
인기,축제랭킹
인기,축제 순위
인기,요즘 인기있는 축제
인기,많이 찾아보는 축제 뭐야
인기,인기있는 축제 알려줘
인기,사람들이 좋아하는 축제
인기,사람들이 많이가는 축제
인기,사람들이 좋아하는 축제 뭐야
인기,사람들이 많이가는 축제 뭐야
인기,제일 인기많은 축제
인기,제일 인기많은 축제 뭐야
인기,인기많은 축제
인기,인기많은 축제 알려줘
인기,인기많은 축제 알려죠
인기,인기많은 축제 가르쳐줘
인기,인기많은 축제 갈쳐줘
인기,유명한 축제 알려죠
인기,유명한 축제 가르쳐줘
인기,요즘 축제
인기,축제 순위 알고있음?
인기,인기순서
인기,검색 순위알려줘
인기,요즘 트렌드
인기,트렌드 축제
인기,1등 축제
인기,참가자 많은 축제
인기,축제들 순위 알려줘
인기,인기 축제 알려주셈
인기,인기축제 알려주삼
인기,인기축제 알려주소
인기,요즘 인기있는거
인기,추천많은 축제
인기,축제 랭킹 알려줘
인기,랭킹 순위 알려줘
인기,인기 축제 추천해줘
인기,요즘 많이 가는 축제 알려줘
인기,사람들 많이 가는 축제 있어?
인기,다른 인기많은 축제들도 보고싶어
인기,인기축제 알려주이소
인기,인기많은 축제 뭐뭐있어
인기,핫플 축제
인기,핫플 축제 알려줘
